"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
10	0.899500405990617	15	15	"Churn"	0
11	0.899119750596002	15	15	"Churn"	0
12	0.891772829398548	15	15	"Churn"	0
13	0.922152943333945	15	15	"Churn"	0
14	0.894302848575712	15	15	"Churn"	0
15	0.888624366554054	15	15	"Churn"	0
16	0.937431626495395	15	15	"Churn"	0
17	0.910715687263839	15	15	"Churn"	0
18	0.906639981163174	15	15	"Churn"	0
19	0.903422255814242	15	15	"Churn"	0
20	0.887298768939394	15	15	"Churn"	0
21	0.882462686567164	15	15	"Churn"	0
22	0.901179740230276	15	15	"Churn"	0
23	0.918463725046838	15	15	"Churn"	0
24	0.900810322466218	15	15	"Churn"	0
25	0.839985850563695	15	15	"Churn"	0
26	0.902737760431613	13	15	"Churn"	0
27	0.877142728256947	15	15	"Churn"	0
28	0.911899636517627	15	15	"Churn"	0
29	0.895276358836021	15	15	"Churn"	0
30	0.9023837951336	15	15	"Churn"	0
1	0.915036205821704	16	16	"Churn"	0
2	0.881368371212121	16	16	"Churn"	0
3	0.919383285984849	15	16	"Churn"	0
4	0.912733052142552	16	16	"Churn"	0
5	0.885699423058735	15	16	"Churn"	0
6	0.885819369536278	14	16	"Churn"	0
7	0.88590790719697	16	16	"Churn"	0
8	0.868628765689146	16	16	"Churn"	0
9	0.9	15	16	"Churn"	0
10	0.920833333333333	15	16	"Churn"	0
11	0.882208988457216	15	16	"Churn"	0
12	0.874443438914027	16	16	"Churn"	0
13	0.925167880347098	16	16	"Churn"	0
14	0.899738535800483	16	16	"Churn"	0
15	0.913254791713819	16	16	"Churn"	0
16	0.863843916013155	16	16	"Churn"	0
17	0.911221590909091	16	16	"Churn"	0
18	0.911006227466404	16	16	"Churn"	0
19	0.893639600164316	16	16	"Churn"	0
20	0.908047452405723	15	16	"Churn"	0
21	0.889326304258524	16	16	"Churn"	0
22	0.876733599181282	16	16	"Churn"	0
23	0.918911323446755	16	16	"Churn"	0
24	0.883332050492611	16	16	"Churn"	0
25	0.923905826370829	16	16	"Churn"	0
26	0.889565931808846	16	16	"Churn"	0
27	0.901634748102139	16	16	"Churn"	0
28	0.90475612125923	16	16	"Churn"	0
29	0.915575221238938	15	16	"Churn"	0
30	0.919200262209112	15	16	"Churn"	0
1	0.872534142640364	16	17	"Churn"	0
2	0.894996624504821	16	17	"Churn"	0
3	0.899565610859729	16	17	"Churn"	0
4	0.876752994759896	16	17	"Churn"	0
5	0.886213002782697	15	17	"Churn"	0
6	0.912196521838949	16	17	"Churn"	0
7	0.91576510040321	17	17	"Churn"	0
8	0.90524384469697	17	17	"Churn"	0
9	0.896728041197046	17	17	"Churn"	0
10	0.88924554498325	16	17	"Churn"	0
11	0.889420154313771	17	17	"Churn"	0
12	0.92344674556213	16	17	"Churn"	0
13	0.901675195460121	17	17	"Churn"	0
14	0.906007339015152	17	17	"Churn"	0
15	0.896160247948115	17	17	"Churn"	0
16	0.889841635005287	16	17	"Churn"	0
17	0.887346151664682	17	17	"Churn"	0
18	0.886111620514701	16	17	"Churn"	0
19	0.928324183832103	16	17	"Churn"	0
20	0.902916099883405	15	17	"Churn"	0
21	0.908605326638114	16	17	"Churn"	0
22	0.918350754936121	15	17	"Churn"	0
23	0.92011165577342	17	17	"Churn"	0
24	0.901039418788663	16	17	"Churn"	0
25	0.884880239520958	17	17	"Churn"	0
26	0.931251885369532	15	17	"Churn"	0
27	0.892805091333074	17	17	"Churn"	0
28	0.906543739179941	16	17	"Churn"	0
29	0.87698271780303	15	17	"Churn"	0
30	0.919186626746507	16	17	"Churn"	0
1	0.919656845886354	15	18	"Churn"	0
2	0.871304547995659	15	18	"Churn"	0
3	0.909279979550815	18	18	"Churn"	0
4	0.935163139329806	18	18	"Churn"	0
5	0.889340672348485	16	18	"Churn"	0
6	0.876948468732808	18	18	"Churn"	0
7	0.891281430579416	16	18	"Churn"	0
8	0.893201912666907	14	18	"Churn"	0
9	0.898164552476791	15	18	"Churn"	0
10	0.918574500379459	17	18	"Churn"	0
11	0.915099734266205	16	18	"Churn"	0
12	0.895745461214011	17	18	"Churn"	0
13	0.903897697356665	17	18	"Churn"	0
14	0.899664789487798	17	18	"Churn"	0
15	0.895158822042131	15	18	"Churn"	0
16	0.896818118129594	15	18	"Churn"	0
17	0.905761689291101	15	18	"Churn"	0
18	0.881123431724712	16	18	"Churn"	0
19	0.896515130768177	17	18	"Churn"	0
20	0.913064684314979	17	18	"Churn"	0
21	0.868618618618619	15	18	"Churn"	0
22	0.91764555520699	16	18	"Churn"	0
23	0.902197802197802	16	18	"Churn"	0
24	0.914474297044459	15	18	"Churn"	0
